sis_id,school_id,student_id,section_id,attendance_date,attendance_type,attendance_status,excuse_code
att-722d19afd3,3e0d6,9922ec,acf32b66,2025-04-01,section,present,
att-24001f63b3,3e0d6,bbc210,acf32b66,2025-04-01,section,present,
att-5b69708998,3e0d6,fd9656,acf32b66,2025-04-01,section,present,
att-9e71d5c122,3e0d6,7f45e2,acf32b66,2025-04-01,section,present,
att-1ee07610e0,3e0d6,e45851,acf32b66,2025-04-01,section,present,
att-92649fa883,3e0d6,c5ce54,acf32b66,2025-04-01,section,present,
att-f9308c24a7,3e0d6,33f642,acf32b66,2025-04-01,section,present,
att-b71e746e01,3e0d6,f5e73b,acf32b66,2025-04-01,section,present,
att-1699242ae2,3e0d6,f324c0,acf32b66,2025-04-01,section,present,
att-532d3306a2,3e0d6,7fdcde,acf32b66,2025-04-01,section,tardy,EXC-913
att-55479b04b1,3e0d6,611e59,acf32b66,2025-04-01,section,tardy,EXC-475
att-d8eb583e0e,3e0d6,8bbafd,acf32b66,2025-04-01,section,present,
att-84d163e776,3e0d6,a775e0,acf32b66,2025-04-01,section,present,
att-2f9caaa0de,3e0d6,fec7ac,acf32b66,2025-04-01,section,present,
att-e6ab067b93,3e0d6,0caf86,acf32b66,2025-04-01,section,present,
att-5a07fd21b3,3e0d6,09ba62,8909070d,2025-04-01,section,present,
att-665c94aa6d,3e0d6,521f7a,8909070d,2025-04-01,section,present,
att-7e79fecefb,3e0d6,6fcd0f,8909070d,2025-04-01,section,present,
att-970dd23037,3e0d6,993542,8909070d,2025-04-01,section,present,
att-5967336dca,3e0d6,922618,8909070d,2025-04-01,section,present,
att-05e82f2a57,3e0d6,0f776c,8909070d,2025-04-01,section,present,
att-c6830c32b1,3e0d6,c215d5,8909070d,2025-04-01,section,present,
att-1888492f58,3e0d6,ebf6cd,8909070d,2025-04-01,section,absent,EXC-487
att-4bdd359212,3e0d6,acc786,8909070d,2025-04-01,section,present,
att-3a63e40b2b,3e0d6,d99d1d,8909070d,2025-04-01,section,present,
att-b6e9abdbbc,3e0d6,fd426d,8909070d,2025-04-01,section,present,
att-a5749751af,3e0d6,d95e72,8909070d,2025-04-01,section,present,
att-e5c39f78fb,3e0d6,d179a4,8909070d,2025-04-01,section,present,
att-54595fb456,3e0d6,5ea068,8909070d,2025-04-01,section,present,
att-c3693cd9e8,3e0d6,c775e9,8909070d,2025-04-01,section,present,
att-da9c91836a,3e0d6,f73113,c2741e15,2025-04-01,section,present,
att-db5634c454,3e0d6,917742,c2741e15,2025-04-01,section,present,
att-f5e1adb215,3e0d6,ccdd6a,c2741e15,2025-04-01,section,present,
att-e12cbbf88e,3e0d6,cda9e2,c2741e15,2025-04-01,section,present,
att-9e2d4a68f5,3e0d6,c221a0,c2741e15,2025-04-01,section,present,
att-510035d34f,3e0d6,5d9b48,c2741e15,2025-04-01,section,present,
att-990eb38596,3e0d6,fd1ca6,c2741e15,2025-04-01,section,present,
att-251b2eb917,3e0d6,c7373c,c2741e15,2025-04-01,section,present,
att-43c900f2a0,3e0d6,f22c37,c2741e15,2025-04-01,section,present,
att-4504a0503b,3e0d6,4f1b40,c2741e15,2025-04-01,section,present,
att-62b35acaac,3e0d6,185741,c2741e15,2025-04-01,section,present,
att-fee23747b2,3e0d6,2f87d3,c2741e15,2025-04-01,section,present,
att-664f6def69,3e0d6,088516,c2741e15,2025-04-01,section,present,
att-2247aef4d8,3e0d6,80b726,c2741e15,2025-04-01,section,present,
att-cdeb26c403,3e0d6,cc84b6,c2741e15,2025-04-01,section,present,
att-dc58a86499,3e0d6,09d1f7,2b24a0b6,2025-04-01,section,present,
att-329acd363f,3e0d6,f30591,2b24a0b6,2025-04-01,section,present,
att-4304269867,3e0d6,b81e4a,2b24a0b6,2025-04-01,section,present,
att-bf4f91c3fd,3e0d6,c119a6,2b24a0b6,2025-04-01,section,present,
att-5aac038025,3e0d6,5069bc,2b24a0b6,2025-04-01,section,present,
att-ab5b28fc81,3e0d6,ba34e8,2b24a0b6,2025-04-01,section,present,
att-47623b65fa,3e0d6,215bf2,2b24a0b6,2025-04-01,section,present,
att-40f536ebbf,3e0d6,2cc5af,2b24a0b6,2025-04-01,section,present,
att-eb70c4bf7d,3e0d6,80ab59,2b24a0b6,2025-04-01,section,present,
att-1ab86bc7f3,3e0d6,54c586,2b24a0b6,2025-04-01,section,present,
att-36104022db,3e0d6,b26d72,2b24a0b6,2025-04-01,section,present,
att-d302b3aff3,3e0d6,ca12d5,2b24a0b6,2025-04-01,section,present,
att-493debbf54,3e0d6,a4e5e8,2b24a0b6,2025-04-01,section,present,
att-6814e3d016,3e0d6,f31258,2b24a0b6,2025-04-01,section,present,
att-76f7025546,3e0d6,36c919,2b24a0b6,2025-04-01,section,present,
